"COU","Country","SMALL_SUBNATIONAL_REGION","Small subnational region","LARGE_SUBNATIONAL_REGION","Large subnational region","MEAS","Measure","VARIABLE","Land cover class","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","GRSL","Grassland","2015","2015",,,"0","Units",,,1.2610430322,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","GRSL","Grassland","2018","2018",,,"0","Units",,,1.0615559989,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","GRSL","Grassland","2019","2019",,,"0","Units",,,1.054431462,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","1992","1992",,,"0","Units",,,0.3918495298,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2004","2004",,,"0","Units",,,0.377600456,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2015","2015",,,"0","Units",,,0.3847249929,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2018","2018",,,"0","Units",,,0.29923055,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2019","2019",,,"0","Units",,,0.29923055,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","1992","1992",,,"0","Units",,,5.5927614705,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2004","2004",,,"0","Units",,,1.3465374751,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2015","2015",,,"0","Units",,,0.8905671131,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2018","2018",,,"0","Units",,,0.9475634084,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2019","2019",,,"0","Units",,,0.9475634084,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","1992","1992",,,"0","Units",,,0.0213736107,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2004","2004",,,"0","Units",,,0,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2015","2015",,,"0","Units",,,0,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2018","2018",,,"0","Units",,,0,,
"HKG","Hong Kong, China","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2019","2019",,,"0","Units",,,0,,
"IND","India","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","1992","1992",,,"0","Units",,,47.236985492,,
"IND","India","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2004","2004",,,"0","Units",,,47.638862292,,
"IND","India","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2015","2015",,,"0","Units",,,49.854053584,,
"IND","India","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2018","2018",,,"0","Units",,,49.987754904,,
"IND","India","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2019","2019",,,"0","Units",,,50.116123628,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","GRSL","Grassland","1992","1992",,,"0","Units",,,2.5432561801,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","GRSL","Grassland","2004","2004",,,"0","Units",,,2.4414972553,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","GRSL","Grassland","2015","2015",,,"0","Units",,,2.4219294302,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","GRSL","Grassland","2018","2018",,,"0","Units",,,2.4391360243,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","GRSL","Grassland","2019","2019",,,"0","Units",,,2.4271766101,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","1992","1992",,,"0","Units",,,4.4774680247,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2004","2004",,,"0","Units",,,3.983233026,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2015","2015",,,"0","Units",,,3.8998496215,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2018","2018",,,"0","Units",,,3.8581605169,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","SHRUBL","Shrubland","2019","2019",,,"0","Units",,,3.8490091233,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","1992","1992",,,"0","Units",,,72.6483912237,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","2004","2004",,,"0","Units",,,72.9470986329,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","2015","2015",,,"0","Units",,,72.5750164254,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","2018","2018",,,"0","Units",,,72.1207015563,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","2019","2019",,,"0","Units",,,71.91948779,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","1992","1992",,,"0","Units",,,0.6705714171,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2004","2004",,,"0","Units",,,0.6757068997,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2015","2015",,,"0","Units",,,0.6823360102,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2018","2018",,,"0","Units",,,0.6828191664,,
"IND","India","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2019","2019",,,"0","Units",,,0.6829542423,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","1992","1992",,,"0","Units",,,0,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2004","2004",,,"0","Units",,,0,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2015","2015",,,"0","Units",,,0,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2018","2018",,,"0","Units",,,0,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2019","2019",,,"0","Units",,,0,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","1992","1992",,,"0","Units",,,32.6488901276,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","2004","2004",,,"0","Units",,,33.289534009,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","2015","2015",,,"0","Units",,,35.0298183112,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","2018","2018",,,"0","Units",,,35.5607965328,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","CROPL","Cropland","2019","2019",,,"0","Units",,,35.7177439989,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","1992","1992",,,"0","Units",,,0.4996602751,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2004","2004",,,"0","Units",,,0.666579564,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2015","2015",,,"0","Units",,,0.8754796983,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2018","2018",,,"0","Units",,,0.8894556978,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","URBAN","Artificial surfaces","2019","2019",,,"0","Units",,,0.8942810356,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","1992","1992",,,"0","Units",,,0,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2004","2004",,,"0","Units",,,0,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2015","2015",,,"0","Units",,,0,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2018","2018",,,"0","Units",,,0,,
"IDN","Indonesia","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","BARE","Bare area","2019","2019",,,"0","Units",,,0,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","1992","1992",,,"0","Units",,,1037.386146076,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","2004","2004",,,"0","Units",,,1057.004457624,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","2015","2015",,,"0","Units",,,1063.015993564,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","2018","2018",,,"0","Units",,,1061.05676688,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","BARE","Bare area","2019","2019",,,"0","Units",,,1058.669695972,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","1992","1992",,,"0","Units",,,66.131455096,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2004","2004",,,"0","Units",,,63.508590704,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2015","2015",,,"0","Units",,,62.772228752,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2018","2018",,,"0","Units",,,62.910257976,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","THOUSAND_SQKM","Square kilometers (000's)","WATER","Inland water","2019","2019",,,"0","Units",,,62.982904936,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","1992","1992",,,"0","Units",,,0.0409119487,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2004","2004",,,"0","Units",,,0.0456583596,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2015","2015",,,"0","Units",,,0.0490906626,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2018","2018",,,"0","Units",,,0.0490906626,,
"IRN","Iran","TOTAL","Total","TOTAL","Total","PCNT","Percent of total country area","WETL","Wetland","2019","2019",,,"0","Units",,,0.0490906626,,
